,condition,sample,region_type,roi,t_step,t_sec,t_min,mean_intensity
45,Fat2_8min,1,bleached,4,45,430,7.166666666666667,2.9739999999999998
46,Fat2_8min,1,bleached,4,46,440,7.333333333333333,2.419
47,Fat2_8min,1,bleached,4,47,450,7.5,2.548
48,Fat2_8min,1,bleached,4,48,460,7.666666666666667,2.85
49,Fat2_8min,1,bleached,4,49,470,7.833333333333333,3.2239999999999998
0,Fat2_8min,2,bleached,1,0,-20,-0.3333333333333333,3.407
1,Fat2_8min,2,bleached,1,1,-10,-0.16666666666666666,3.45
2,Fat2_8min,2,bleached,1,2,0,0.0,1.605
3,Fat2_8min,2,bleached,1,3,10,0.16666666666666666,1.486
4,Fat2_8min,2,bleached,1,4,20,0.3333333333333333,1.517
5,Fat2_8min,2,bleached,1,5,30,0.5,1.854
6,Fat2_8min,2,bleached,1,6,40,0.6666666666666666,1.9269999999999998
7,Fat2_8min,2,bleached,1,7,50,0.8333333333333334,2.252
8,Fat2_8min,2,bleached,1,8,60,1.0,1.893
9,Fat2_8min,2,bleached,1,9,70,1.1666666666666667,1.76
10,Fat2_8min,2,bleached,1,10,80,1.3333333333333333,1.6019999999999999
11,Fat2_8min,2,bleached,1,11,90,1.5,1.72
12,Fat2_8min,2,bleached,1,12,100,1.6666666666666667,1.67
13,Fat2_8min,2,bleached,1,13,110,1.8333333333333333,1.7109999999999999
14,Fat2_8min,2,bleached,1,14,120,2.0,1.505
15,Fat2_8min,2,bleached,1,15,130,2.1666666666666665,1.8030000000000002
16,Fat2_8min,2,bleached,1,16,140,2.3333333333333335,1.588
17,Fat2_8min,2,bleached,1,17,150,2.5,1.663
18,Fat2_8min,2,bleached,1,18,160,2.6666666666666665,2.055
19,Fat2_8min,2,bleached,1,19,170,2.8333333333333335,1.993
20,Fat2_8min,2,bleached,1,20,180,3.0,1.851
21,Fat2_8min,2,bleached,1,21,190,3.1666666666666665,1.815
22,Fat2_8min,2,bleached,1,22,200,3.3333333333333335,1.725
23,Fat2_8min,2,bleached,1,23,210,3.5,1.8219999999999998
24,Fat2_8min,2,bleached,1,24,220,3.6666666666666665,1.7009999999999998
25,Fat2_8min,2,bleached,1,25,230,3.8333333333333335,1.8630000000000002
26,Fat2_8min,2,bleached,1,26,240,4.0,1.74
27,Fat2_8min,2,bleached,1,27,250,4.166666666666667,1.6469999999999998
28,Fat2_8min,2,bleached,1,28,260,4.333333333333333,1.64
29,Fat2_8min,2,bleached,1,29,270,4.5,1.709
30,Fat2_8min,2,bleached,1,30,280,4.666666666666667,1.507
31,Fat2_8min,2,bleached,1,31,290,4.833333333333333,1.671
32,Fat2_8min,2,bleached,1,32,300,5.0,1.699
33,Fat2_8min,2,bleached,1,33,310,5.166666666666667,1.903
34,Fat2_8min,2,bleached,1,34,320,5.333333333333333,1.766
35,Fat2_8min,2,bleached,1,35,330,5.5,1.9080000000000001
36,Fat2_8min,2,bleached,1,36,340,5.666666666666667,1.758
37,Fat2_8min,2,bleached,1,37,350,5.833333333333333,1.683
38,Fat2_8min,2,bleached,1,38,360,6.0,1.6640000000000001
39,Fat2_8min,2,bleached,1,39,370,6.166666666666667,1.676
40,Fat2_8min,2,bleached,1,40,380,6.333333333333333,1.86
41,Fat2_8min,2,bleached,1,41,390,6.5,2.066
42,Fat2_8min,2,bleached,1,42,400,6.666666666666667,2.097
43,Fat2_8min,2,bleached,1,43,410,6.833333333333333,1.8719999999999999
44,Fat2_8min,2,bleached,1,44,420,7.0,1.874
45,Fat2_8min,2,bleached,1,45,430,7.166666666666667,1.962
46,Fat2_8min,2,bleached,1,46,440,7.333333333333333,1.9709999999999999
47,Fat2_8min,2,bleached,1,47,450,7.5,1.837
48,Fat2_8min,2,bleached,1,48,460,7.666666666666667,2.106
49,Fat2_8min,2,bleached,1,49,470,7.833333333333333,1.972
0,Fat2_8min,2,bleached,2,0,-20,-0.3333333333333333,5.022
1,Fat2_8min,2,bleached,2,1,-10,-0.16666666666666666,4.5569999999999995
2,Fat2_8min,2,bleached,2,2,0,0.0,0.9890000000000001
3,Fat2_8min,2,bleached,2,3,10,0.16666666666666666,1.177
4,Fat2_8min,2,bleached,2,4,20,0.3333333333333333,1.207
5,Fat2_8min,2,bleached,2,5,30,0.5,1.128
6,Fat2_8min,2,bleached,2,6,40,0.6666666666666666,1.038
7,Fat2_8min,2,bleached,2,7,50,0.8333333333333334,1.093
8,Fat2_8min,2,bleached,2,8,60,1.0,1.124
9,Fat2_8min,2,bleached,2,9,70,1.1666666666666667,1.198
10,Fat2_8min,2,bleached,2,10,80,1.3333333333333333,1.321
11,Fat2_8min,2,bleached,2,11,90,1.5,1.182
12,Fat2_8min,2,bleached,2,12,100,1.6666666666666667,1.274
13,Fat2_8min,2,bleached,2,13,110,1.8333333333333333,1.179
