,position (um),Fat2 intensity,Abi intensity
399,27.4889,33.0209,4.1841
400,27.5578,31.9397,4.0591
401,27.6267,27.0388,4.6214
402,27.6956,19.5146,3.5444
403,27.7645,15.9898,2.2611
404,27.8334,12.7596,1.4958
405,27.9023,12.5105,1.0366
406,27.9712,14.9878,1.5446
407,28.0401,18.0366,1.6933
408,28.109,13.4814,2.0126
409,28.1778,13.9545,2.1199
410,28.2467,9.5856,1.2851
411,28.3156,11.884,1.3333
412,28.3845,12.239,1.4843
413,28.4534,17.7178,1.4865
414,28.5223,21.6549,1.9917
415,28.5912,24.1432,1.9685
416,28.6601,25.9977,1.8722
417,28.729,21.0978,2.1461
418,28.7979,19.8697,2.3902
419,28.8668,19.993,2.1997
420,28.9357,20.3833,1.7587
421,29.0046,18.6527,1.5793
422,29.0735,19.1977,2.0472
423,29.1424,23.8133,2.3663
424,29.2113,19.7256,2.8335
425,29.2802,17.1325,3.3641
426,29.3491,14.7001,2.7491
427,29.4179,12.4861,1.8249
428,29.4868,11.7516,1.3712
429,29.5557,15.0247,1.5712
430,29.6246,16.6246,1.6584
431,29.6935,15.1494,1.678
432,29.7624,13.9025,1.9865
433,29.8313,8.1373,1.8613
434,29.9002,6.1091,1.3291
435,29.9691,7.2135,1.0538
436,30.038,6.5893,1.3856
437,30.1069,8.1988,1.5997
438,30.1758,10.2684,1.3648
439,30.2447,9.7953,1.2399
440,30.3136,12.1548,2.1367
441,30.3825,10.2758,1.5185
442,30.4514,10.0527,1.6933
443,30.5203,14.2432,1.288
444,30.5892,20.412,1.3889
445,30.6581,26.1268,1.8808
446,30.7269,29.2479,1.8988
447,30.7958,34.4956,2.1898
448,30.8647,27.1881,2.0654
449,30.9336,18.7765,1.7076
450,31.0025,12.7211,1.5758
451,31.0714,10.6341,1.7165
452,31.1403,8.2419,1.032
453,31.2092,7.3824,1.2822
454,31.2781,7.1455,1.905
455,31.347,6.1143,1.4757
456,31.4159,5.8803,1.8153
457,31.4848,6.5449,1.4247
458,31.5537,7.1229,1.7267
459,31.6226,7.1571,2.0881
460,31.6915,9.6763,1.7902
461,31.7604,9.5955,2.0467
462,31.8293,9.0518,1.4426
463,31.8982,12.4868,1.9562
464,31.967,18.7196,1.4286
465,32.0359,21.1173,1.8012
466,32.1048,23.6878,2.6452
467,32.1737,17.6791,2.1409
468,32.2426,9.6328,1.9475
469,32.3115,7.289,1.4383
470,32.3804,7.785,1.8236
471,32.4493,9.237,1.7367
472,32.5182,9.4155,1.9721
473,32.5871,11.5214,2.2528
474,32.656,19.1993,2.6466
475,32.7249,21.8195,2.5113
476,32.7938,21.4768,2.3843
477,32.8627,22.9189,2.5596
478,32.9316,25.4028,2.6939
479,33.0005,26.3462,2.7698
480,33.0694,26.9117,2.2255
481,33.1383,25.1963,2.2354
482,33.2071,20.3299,2.1037
483,33.276,16.3979,2.4052
484,33.3449,14.757,2.1023
485,33.4138,18.1078,2.1406
486,33.4827,21.7984,1.7261
487,33.5516,24.7354,2.4141
488,33.6205,28.0324,2.3871
489,33.6894,28.1778,2.5674
490,33.7583,22.4193,2.478
491,33.8272,18.7509,1.8154
492,33.8961,16.0553,2.1286
493,33.965,16.6378,2.145
494,34.0339,20.2764,1.5334
495,34.1028,17.3327,2.092
496,34.1717,16.5733,2.3605
497,34.2406,13.5479,2.2171
498,34.3095,12.7662,1.806
499,34.3784,13.128,2.0301
500,34.4472,13.6221,3.3304
501,34.5161,16.3702,3.5722
502,34.585,20.6603,3.2947
503,34.6539,24.7917,4.7733
504,34.7228,30.0594,6.1595
505,34.7917,31.0269,5.4149
506,34.8606,31.302,6.3455
507,34.9295,27.2936,4.9312
508,34.9984,19.8826,4.2123
509,35.0673,15.4908,3.0877
510,35.1362,19.7727,2.6014
511,35.2051,22.3694,2.2657
512,35.274,20.2207,1.7123
513,35.3429,14.7933,1.0558
514,35.4118,13.1229,1.3279
515,35.4807,14.4827,1.1334
516,35.5496,18.4827,2.4034
517,35.6185,26.8344,2.4286
518,35.6873,28.4506,1.8923
519,35.7562,21.0623,2.2866
520,35.8251,15.1997,2.1837
521,35.894,9.0,1.9671
522,35.9629,8.3488,1.4424
523,36.0318,8.3727,1.3173
524,36.1007,6.9558,1.3773
525,36.1696,8.5906,1.3071
526,36.2385,11.3042,1.1807
527,36.3074,10.3344,1.1787
528,36.3763,8.6694,0.9723
529,36.4452,6.576,1.1281
530,36.5141,7.2831,1.6802
531,36.583,8.6893,1.6711
532,36.6519,9.7344,1.5698
533,36.7208,12.5373,1.6979
534,36.7897,9.5872,1.6434
535,36.8586,11.8394,1.4978
536,36.9274,11.3181,1.6875
537,36.9963,14.6059,1.7104
538,37.0652,17.9329,2.1866
539,37.1341,22.7815,2.3307
540,37.203,23.8561,2.4363
541,37.2719,25.1939,1.8524
542,37.3408,20.7994,2.3271
543,37.4097,19.515,1.8733
544,37.4786,23.7233,2.1674
545,37.5475,29.1313,1.7372
546,37.6164,29.2144,2.2871
547,37.6853,26.2018,1.6624
548,37.7542,25.8314,1.1827
549,37.8231,23.8586,1.7004
550,37.892,16.0882,1.7739
551,37.9609,10.7516,1.9695
552,38.0298,7.6196,1.5349
553,38.0987,7.0864,1.3627
554,38.1675,9.6595,1.5378
555,38.2364,9.5556,1.3498
556,38.3053,10.0859,1.6379
557,38.3742,10.3352,1.4745
558,38.4431,9.8073,2.3254
559,38.512,10.7209,2.1743
560,38.5809,12.0259,1.5945
561,38.6498,16.7729,1.4387
562,38.7187,19.5704,1.7227
563,38.7876,20.3662,1.7286
564,38.8565,21.0603,1.727
565,38.9254,20.9581,1.7893
566,38.9943,18.0034,2.3407
567,39.0632,11.8729,1.8777
568,39.1321,8.4468,0.9044
569,39.201,10.1524,1.0387
570,39.2699,8.8258,1.4309
571,39.3388,7.0895,1.8978
572,39.4076,5.5107,1.0103
573,39.4765,4.887,0.8523
574,39.5454,5.9111,1.1413
575,39.6143,7.4534,1.3215
576,39.6832,8.7924,1.3246
577,39.7521,11.1124,0.8748
578,39.821,9.7497,1.3256
579,39.8899,11.1229,1.6697
580,39.9588,9.0808,1.7324
581,40.0277,7.1505,1.4036
582,40.0966,6.8262,1.0887
583,40.1655,6.1058,1.334
584,40.2344,5.4872,1.1183
585,40.3033,6.0557,1.5171
586,40.3722,5.4158,1.3008
587,40.4411,6.5243,0.9995
588,40.51,5.8184,0.861
589,40.5789,4.8806,0.8727
590,40.6478,5.0094,1.3418
591,40.7166,6.8336,1.1005
592,40.7855,7.4479,1.0397
593,40.8544,9.6385,1.0655
594,40.9233,12.5978,1.2202
595,40.9922,13.7353,2.3752
596,41.0611,13.0195,1.7975
597,41.13,12.6651,1.5897
598,41.1989,18.7586,2.2435
599,41.2678,24.0417,3.0895
600,41.3367,33.4598,5.2143
601,41.4056,54.1051,8.1176
602,41.4745,75.2183,12.2208
603,41.5434,72.4269,12.6966
604,41.6123,33.988,9.2481
605,41.6812,17.3441,4.8111
606,41.7501,13.2099,2.995
607,41.819,14.0751,2.4312
608,41.8879,15.017,1.973
609,41.9567,16.8599,1.9865
610,42.0256,16.8332,1.9662
611,42.0945,15.4619,1.5334
612,42.1634,15.6443,1.7009
613,42.2323,11.2302,2.1957
614,42.3012,12.3223,1.6299
615,42.3701,13.7551,1.7345
616,42.439,13.6271,2.4458
617,42.5079,13.807,2.4143
618,42.5768,14.6485,2.5584
619,42.6457,16.724,2.9191
620,42.7146,13.6498,2.6982
621,42.7835,13.6255,2.2535
622,42.8524,14.6758,2.2818
623,42.9213,11.3747,2.329
624,42.9902,12.6802,2.0719
