,position (um),Sema5c intensity,Abi intensity
1272,26.9377,6.6059,3.1113
1273,27.0066,5.217,3.7795
1274,27.0755,4.4463,3.7809
1275,27.1444,3.1245,3.8187
1276,27.2133,3.6151,4.2014
1277,27.2822,3.5109,5.3916
1278,27.3511,3.7651,4.2344
1279,27.42,5.8007,4.0231
1280,27.4889,5.7215,3.3292
1281,27.5578,8.0549,3.2729
1282,27.6267,7.3554,3.7487
1283,27.6956,7.3764,3.4959
1284,27.7645,7.314,4.6433
1285,27.8334,8.0159,4.0712
1286,27.9023,9.1385,4.2375
1287,27.9712,10.8663,5.3676
1288,28.0401,10.3962,6.2356
1289,28.109,11.3818,7.0467
1290,28.1778,10.723,9.0813
1291,28.2467,10.0802,9.3492
1292,28.3156,9.7066,9.3665
1293,28.3845,9.3703,10.0495
1294,28.4534,12.8772,10.8942
1295,28.5223,19.7985,10.2188
1296,28.5912,31.017,12.3381
1297,28.6601,32.5065,12.3737
1298,28.729,26.1393,11.325
1299,28.7979,14.76,9.7249
1300,28.8668,11.585,7.4477
1301,28.9357,8.4987,4.9552
1302,29.0046,6.1044,4.0461
1303,29.0735,4.5902,3.6096
1304,29.1424,4.1599,3.0247
1305,29.2113,4.5005,2.7695
1306,29.2802,2.9333,2.6418
1307,29.3491,2.3078,2.2926
1308,29.4179,2.1388,1.615
1309,29.4868,1.9608,2.6711
1310,29.5557,1.2859,3.3718
1311,29.6246,1.2163,2.776
