,position (um),Ecad intensity,Abi intensity
446,30.7269,14.6506,1.26588
447,30.7958,14.1859,0.77279
448,30.8647,15.3446,0.65662
449,30.9336,17.0363,0.70562
450,31.0025,14.9251,0.67485
451,31.0714,14.9681,1.20975
452,31.1403,16.0896,1.15967
453,31.2092,15.6541,0.84438
454,31.2781,15.2767,0.7735
455,31.347,12.1073,0.91112
456,31.4159,12.4721,0.87323
457,31.4848,13.0708,1.06132
458,31.5537,13.9465,0.79862
459,31.6226,17.8845,1.22264
460,31.6915,16.8157,1.04869
461,31.7604,13.8749,1.29866
462,31.8293,11.5239,0.41329
463,31.8982,10.3453,0.83145
464,31.967,10.845,0.93633
465,32.0359,13.5904,0.91988
466,32.1048,8.1215,0.84505
467,32.1737,11.808,0.88867
468,32.2426,15.8618,1.10935
469,32.3115,13.4945,1.4639
470,32.3804,16.5375,1.32196
471,32.4493,16.4645,1.71373
472,32.5182,15.6643,1.37446
473,32.5871,15.3088,1.28956
474,32.656,17.5642,1.09838
475,32.7249,20.3212,1.24154
476,32.7938,22.0174,1.6533
477,32.8627,20.0894,2.22328
478,32.9316,16.907,3.35802
479,33.0005,15.8871,4.42533
480,33.0694,19.3041,4.99212
481,33.1383,22.596,5.02769
482,33.2071,24.4117,5.21932
483,33.276,22.1032,4.87449
484,33.3449,17.1789,4.775
485,33.4138,17.5133,4.14179
486,33.4827,16.8888,3.89851
487,33.5516,16.6567,2.81421
488,33.6205,16.2137,2.93774
489,33.6894,16.5695,4.1387
490,33.7583,15.8024,3.72258
491,33.8272,16.1157,4.20446
492,33.8961,17.0449,3.94171
493,33.965,16.0697,3.68356
494,34.0339,14.6385,3.08926
495,34.1028,14.045,2.41444
496,34.1717,14.0669,1.55513
497,34.2406,15.3868,1.40227
498,34.3095,15.7734,1.74847
499,34.3784,15.337,0.98255
500,34.4472,15.0784,1.14635
501,34.5161,14.0674,1.31279
502,34.585,15.1035,1.20938
503,34.6539,15.0707,1.26365
504,34.7228,11.4592,0.74436
505,34.7917,10.2995,1.56886
506,34.8606,9.3788,0.90544
507,34.9295,10.2974,0.94183
508,34.9984,12.0614,1.48692
509,35.0673,12.061,1.85748
510,35.1362,14.4051,1.0394
511,35.2051,13.9143,1.26694
512,35.274,15.2981,1.82075
513,35.3429,15.7439,1.48604
514,35.4118,13.3707,0.94197
515,35.4807,14.1218,1.0638
516,35.5496,12.8547,0.75347
517,35.6185,11.235,0.79164
518,35.6873,11.0259,0.80496
519,35.7562,13.343,0.7857
520,35.8251,14.4013,0.75293
521,35.894,13.7728,0.93297
522,35.9629,15.332,1.11157
523,36.0318,16.3349,0.9673
524,36.1007,15.5914,1.55743
525,36.1696,16.4977,1.49529
526,36.2385,21.2233,1.78791
527,36.3074,24.234,2.31677
528,36.3763,22.5163,2.95835
529,36.4452,25.7387,4.223
530,36.5141,25.4146,4.95817
531,36.583,21.4055,4.98188
532,36.6519,18.161,3.88632
533,36.7208,17.1208,3.06835
534,36.7897,17.7795,2.70754
535,36.8586,15.2376,2.87288
536,36.9274,12.575,2.72473
537,36.9963,11.1507,2.3358
538,37.0652,11.1383,1.86122
539,37.1341,10.1675,1.81214
540,37.203,10.1644,1.65499
541,37.2719,8.9567,1.76556
542,37.3408,8.6638,1.60863
543,37.4097,9.4498,1.24068
544,37.4786,9.1747,1.46814
545,37.5475,10.2534,1.44974
546,37.6164,9.4247,1.40309
547,37.6853,10.8765,1.72515
548,37.7542,11.0816,2.00271
549,37.8231,13.0722,2.28065
550,37.892,15.272,1.80752
551,37.9609,18.1216,1.92375
552,38.0298,16.2722,2.24458
553,38.0987,13.916,1.0889
554,38.1675,12.3557,1.27002
555,38.2364,12.1426,1.8474
556,38.3053,13.3381,1.5855
557,38.3742,14.7232,1.63413
558,38.4431,14.5941,2.12013
559,38.512,12.0593,2.67748
560,38.5809,10.8973,3.05546
561,38.6498,10.2328,1.94594
562,38.7187,7.1467,1.50439
563,38.7876,6.8603,1.75172
564,38.8565,7.8683,1.96979
565,38.9254,8.2655,2.19095
566,38.9943,8.9331,1.71455
567,39.0632,10.6905,1.93449
568,39.1321,12.695,1.67499
569,39.201,13.3546,1.29414
570,39.2699,13.3819,0.92917
571,39.3388,13.5937,0.74721
